alpha,gen_error_mean,gen_error_std
0.1,0.38458233014908827,0.012896948490583942
0.2,0.37816409124494776,0.012328606574935685
0.3,0.3507572614977283,0.02334618853589006
0.4,0.30617937657283484,0.01494826567164276
0.5,0.18333595851049161,0.015306168863260722
0.6,0.09773936849602699,0.009959535402356137
0.7,0.0610250305488898,0.007012172072021254
0.8,0.0468222262052191,0.003656535933620884
0.9,0.03227772713507158,0.004456142269738988
1.0,0.023951982674757292,0.0062302507033639406
1.1,0.010018375347780276,0.0037020030318949417
1.2,0.00550233751561179,0.0024608024513628974
1.3,0.007130627692834849,0.008078952216398623
1.4,0.0024680787126863187,0.00045688764160709266
1.5,0.0028285772770039568,0.003301446333001855